id,date,pm25,tmp,rh,ws,wd
1,2017-01-01,24.86923076923077,19.475,52.125,2.5166666666666666,9.64872058695006
2,2017-01-02,24.86923076923077,19.358333333333334,49.69166666666666,1.2916666666666667,9.957045042576864
3,2017-01-03,24.86923076923077,19.970833333333335,43.0375,1.0625,11.69589591129232
4,2017-01-04,24.86923076923077,20.620833333333337,38.22083333333333,1.1958333333333333,12.786368097663804
5,2017-01-05,24.86923076923077,21.870833333333337,31.508333333333336,2.375,14.540040469708012
6,2017-01-06,24.86923076923077,20.925,32.59583333333333,1.6583333333333332,12.889067565428215
7,2017-01-07,24.86923076923077,20.320833333333333,34.00416666666667,1.3291666666666666,12.216862370801763
8,2017-01-08,24.86923076923077,17.729166666666668,40.9625,3.483333333333333,8.784494221479484
9,2017-01-09,24.86923076923077,17.05,33.9,2.4208333333333334,8.724130446906333
10,2017-01-10,24.86923076923077,16.995833333333334,29.84583333333333,1.2875,8.606533371281733
11,2017-01-11,24.86923076923077,18.629166666666663,29.4625,1.2333333333333334,10.418767115559422
12,2017-01-12,24.86923076923077,19.466666666666665,39.275,1.1833333333333331,10.410111653842952
13,2017-01-13,24.86923076923077,19.516666666666666,37.34583333333333,1.5583333333333331,10.11447605975486
14,2017-01-14,24.86923076923077,19.020833333333332,38.74583333333333,1.7083333333333333,8.340191933874255
15,2017-01-15,24.86923076923077,19.39,35.995,2.015,9.531928492603466
16,2017-01-16,24.86923076923077,18.970833333333335,38.775,2.1791666666666667,9.734011528686947
17,2017-01-17,24.86923076923077,18.9,43.40869565217391,2.6695652173913045,9.18779899826293
18,2017-01-18,24.86923076923077,18.904166666666665,45.479166666666664,2.3833333333333333,8.379595689202272
19,2017-01-19,24.86923076923077,19.204166666666666,45.65,3.0500000000000003,9.261343258799148
20,2017-01-20,24.86923076923077,19.929411764705883,41.04117647058824,4.7176470588235295,9.634303261715226
21,2017-01-21,24.86923076923077,17.354166666666668,42.166666666666664,3.4,8.591326590594022
22,2017-01-22,24.86923076923077,17.470833333333335,30.320833333333336,1.2791666666666666,9.1329506318201
23,2017-01-23,24.86923076923077,19.25,22.1125,2.0958333333333337,11.092446529725503
24,2017-01-24,24.86923076923077,19.933333333333337,36.31666666666667,2.5708333333333333,10.542347522109967
25,2017-01-25,24.86923076923077,18.9875,44.729166666666664,2.283333333333333,9.48547606084136
26,2017-01-26,24.86923076923077,19.741666666666667,46.44166666666666,1.4375,10.776823758813272
27,2017-01-27,24.86923076923077,20.295833333333334,35.637499999999996,2.283333333333333,11.192385642433276
28,2017-01-28,24.86923076923077,19.2375,32.858333333333334,1.85,9.817150134581048
29,2017-01-29,24.86923076923077,17.216666666666665,37.46666666666667,3.3000000000000003,7.896179207120923
30,2017-01-30,24.86923076923077,17.9875,38.8,2.720833333333333,9.064690414286488
31,2017-01-31,24.86923076923077,16.958333333333332,57.625,1.725,6.802940794474392
32,2017-02-01,24.86923076923077,18.004166666666666,56.86666666666667,2.0708333333333333,8.498528940955602
33,2017-02-02,24.86923076923077,19.370833333333337,44.05833333333334,1.6583333333333332,10.26397721289917
34,2017-02-03,24.86923076923077,20.041666666666668,35.15416666666666,2.2875,10.685611590248657
35,2017-02-04,24.86923076923077,20.179166666666667,37.4625,2.2333333333333334,10.254024452853669
36,2017-02-05,24.86923076923077,21.095833333333335,35.108333333333334,1.8625,10.643894567241162
37,2017-02-06,24.86923076923077,20.716666666666665,30.208333333333332,2.1875,11.060299960491603
38,2017-02-07,24.86923076923077,20.6625,27.758333333333336,1.425,11.288147601036329
39,2017-02-08,24.86923076923077,21.556521739130435,28.282608695652176,1.017391304347826,12.881038584451812
40,2017-02-09,24.86923076923077,21.925,25.733333333333334,2.8041666666666667,12.218762815749132
41,2017-02-10,24.86923076923077,22.004166666666663,32.69583333333333,2.3916666666666666,12.044864607535953
42,2017-02-11,24.86923076923077,22.604166666666668,30.8,1.7833333333333332,12.886911410692685
43,2017-02-12,24.86923076923077,22.4125,31.808333333333337,1.6708333333333334,12.739731470928083
44,2017-02-13,24.86923076923077,21.683333333333337,32.637499999999996,3.220833333333333,11.517401421726207
45,2017-02-14,24.86923076923077,19.891666666666666,33.4375,3.1166666666666667,9.638221610308056
46,2017-02-15,24.86923076923077,18.370833333333337,35.579166666666666,2.4791666666666665,7.97052257490901
47,2017-02-16,24.86923076923077,17.3875,39.49583333333333,4.695833333333334,7.55259731350613
48,2017-02-17,24.86923076923077,17.45,43.90416666666667,3.475,8.103606795240058
49,2017-02-18,24.86923076923077,18.05,47.26666666666667,3.904166666666667,7.97143109578545
50,2017-02-19,24.86923076923077,17.95,53.74166666666667,3.7083333333333335,7.457083596234806
51,2017-02-20,24.86923076923077,18.254166666666663,44.84583333333333,2.6083333333333334,8.777197684769183
52,2017-02-21,24.86923076923077,19.4125,28.15833333333333,3.1458333333333335,9.846021286952396
53,2017-02-22,24.86923076923077,20.783333333333335,25.370833333333337,2.1875,11.90669938922439
54,2017-02-23,24.86923076923077,20.95,36.1125,2.4250000000000003,11.30539747822618
55,2017-02-24,24.86923076923077,20.741666666666667,36.3125,2.1083333333333334,11.9456999672614
56,2017-02-25,24.86923076923077,21.333333333333332,27.22083333333333,2.1958333333333333,12.502621844012278
57,2017-02-26,24.86923076923077,22.129166666666663,29.183333333333337,2.0875,12.97192797985302
58,2017-02-27,24.86923076923077,22.695833333333336,34.891666666666666,2.2624999999999997,13.936607664187036
59,2017-02-28,24.86923076923077,23.058333333333337,34.137499999999996,2.1666666666666665,13.700226452549469
